,Unnamed: 0,Date,ID,Username,Tweets,case folding,data cleaning,tokenisasi,normalisasi,stopwords,stemming,Text Tweet,klasifikasi
0,260,11/27/2021 1:55,1.46E+23,Now_or_never,b'@mazzini_gsp kenapa abis ribut soal permen PPKS ngeributin masalah pro-live or pro-choice. medsos kaya muter2 gitu topiknya.',b'@mazzini_gsp kenapa abis ribut soal permen ppks ngeributin masalah pro-live or pro-choice. medsos kaya muter2 gitu topiknya.',kenapa abis ribut soal permen ppks ngeributin masalah pro live or pro choice medsos kaya muter gitu topiknya,"['kenapa', 'abis', 'ribut', 'soal', 'permen', 'ppks', 'ngeributin', 'masalah', 'pro', 'live', 'or', 'pro', 'choice', 'medsos', 'kaya', 'muter', 'gitu', 'topiknya']","['kenapa', 'abis', 'ribut', 'soal', 'permendukbidristek', 'ppks', 'ribut', 'masalah', 'dukung', 'live', 'or', 'dukung', 'choice', 'medsos', 'kaya', 'ambigu', 'gitu', 'topiknya']",abis ribut permendukbidristek ppks ribut dukung live or dukung choice medsos kaya ambigu gitu topiknya,"['abis', 'ribut', 'permendukbidristek', 'ppks', 'ribut', 'dukung', 'live', 'or', 'dukung', 'choice', 'medsos', 'kaya', 'ambigu', 'gitu', 'topik']","['abis', 'ribut', 'permendukbidristek', 'ppks', 'ribut', 'dukung', 'live', 'or', 'dukung', 'choice', 'medsos', 'kaya', 'ambigu', 'gitu', 'topik']",Positif
1,262,11/27/2021 1:43,1.46E+23,Alesha Maryam (أليشا مريم),"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\nhttps://t.co/uvwotXRwS9'","b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\nhttps://t.co/uvwotxrws9'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc']",aksi tolak permendukbidristek ppks cegah perzinaan syariah serba serbi mmc,"['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc']",Negatif
2,44,11/27/2021 21:11,1.46E+22,Riyanti Waznah,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\n Apa saja yang disampaikan dalam aksi kem\xe2\x80\xa6 https://t.co/RtAHY1CpjK'","b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\n\n apa saja yang disampaikan dalam aksi kem\xe2\x80\xa6 https://t.co/rtahy1cpjk'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc apa saja yang disampaikan dalam aksi kem,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'apa', 'saja', 'yang', 'disampaikan', 'dalam', 'aksi', 'kem']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'apa', 'saja', 'yang', 'disampaikan', 'dalam', 'aksi', 'kem']",aksi tolak permendukbidristek ppks cegah perzinaan syariah serba serbi mmc aksi kem,"['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'aksi', 'kem']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'aksi']",Negatif
3,96,11/27/2021 11:23,1.46E+23,Nikika Zunah,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nApa saja yang disampaikan dalam aksi kema\xe2\x80\xa6 https://t.co/QebJ7AFdgz'","b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\n\napa saja yang disampaikan dalam aksi kema\xe2\x80\xa6 https://t.co/qebj7afdgz'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc napa saja yang disampaikan dalam aksi kema,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'napa', 'saja', 'yang', 'disampaikan', 'dalam', 'aksi', 'kema']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'kenapa', 'saja', 'yang', 'disampaikan', 'dalam', 'aksi', 'kema']",aksi tolak permendukbidristek ppks cegah perzinaan syariah serba serbi mmc aksi kema,"['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'aksi', 'kema']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'aksi']",Negatif
4,74,11/27/2021 12:06,1.46E+23,Diana lestari,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nhttps://t.co/hsulR67fsL\n\nJangan lupa shar\xe2\x80\xa6 https://t.co/u3dXa7UvjZ'","b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\n\nhttps://t.co/hsulr67fsl\n\njangan lupa shar\xe2\x80\xa6 https://t.co/u3dxa7uvjz'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc lupa shar,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'lupa', 'shar']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'lupa', 'shar']",aksi tolak permendukbidristek ppks cegah perzinaan syariah serba serbi mmc lupa shar,"['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'lupa', 'shar']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'lupa']",Negatif
5,180,11/27/2021 4:47,1.46E+23,Tuty Rusmiaty,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\nSebagai bentuk reaksi atas disahkannya Per\xe2\x80\xa6 https://t.co/sH4S2nYg6R'","b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\nsebagai bentuk reaksi atas disahkannya per\xe2\x80\xa6 https://t.co/sh4s2nyg6r'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc nsebagai bentuk reaksi atas disahkannya per,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'atas', 'disahkannya', 'per']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'atas', 'disahkannya', 'per']",aksi tolak permendukbidristek ppks cegah perzinaan syariah serba serbi mmc nsebagai bentuk reaksi disahkannya,"['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'sah']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'sah']",Negatif
6,135,11/27/2021 6:53,1.46E+23,rinamulya,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\n\nSebagai bentuk reaksi atas disahkannya Pe\xe2\x80\xa6 https://t.co/OWJc3MN91g'","b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\n\nsebagai bentuk reaksi atas disahkannya pe\xe2\x80\xa6 https://t.co/owjc3mn91g'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc nsebagai bentuk reaksi atas disahkannya pe,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'atas', 'disahkannya', 'pe']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'atas', 'disahkannya', 'pe']",aksi tolak permendukbidristek ppks cegah perzinaan syariah serba serbi mmc nsebagai bentuk reaksi disahkannya pe,"['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'sah', 'pe']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'nsebagai', 'bentuk', 'reaksi', 'sah', 'pe']",Negatif
7,184,11/27/2021 4:37,1.46E+23,Yesita_kurniawati,"b'Aksi Tolak Permen PPKS, Cegah Perzinaan dengan Syariah | Serba-serbi MMC\nSimak selengkapnya dalam video berikut!\xe2\x80\xa6 https://t.co/BHHmrlsuvg'","b'aksi tolak permen ppks, cegah perzinaan dengan syariah | serba-serbi mmc\nsimak selengkapnya dalam video berikut!\xe2\x80\xa6 https://t.co/bhhmrlsuvg'",aksi tolak permen ppks cegah perzinaan dengan syariah serba serbi mmc nsimak selengkapnya dalam video berikut,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsimak', 'selengkapnya', 'dalam', 'video', 'berikut']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'perzinaan', 'dengan', 'syariah', 'serba', 'serbi', 'mmc', 'nsimak', 'selengkapnya', 'dalam', 'video', 'berikut']",aksi tolak permendukbidristek ppks cegah perzinaan syariah serba serbi mmc nsimak selengkapnya video,"['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'nsimak', 'lengkap', 'video']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'zina', 'syariah', 'serba', 'serbi', 'mmc', 'nsimak', 'lengkap', 'video']",Negatif
8,305,11/27/2021 0:10,1.46E+23,mo mooi,"b'Aksi tolak permen PPKS, cegah perzinahan dengan syariah\n\nhttps://t.co/H5IYvCr0Uz\n\n#Permendikbutristek\n#AksiTolakPermendikbutristek\n#MMC'","b'aksi tolak permen ppks, cegah perzinahan dengan syariah\n\nhttps://t.co/h5iyvcr0uz\n\n#permendikbutristek\n#aksitolakpermendikbutristek\n#mmc'",aksi tolak permen ppks cegah perzinahan dengan syariah,"['aksi', 'tolak', 'permen', 'ppks', 'cegah', 'perzinahan', 'dengan', 'syariah']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'perzinahan', 'dengan', 'syariah']",aksi tolak permendukbidristek ppks cegah perzinahan syariah,"['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'perzinahan', 'syariah']","['aksi', 'tolak', 'permendukbidristek', 'ppks', 'cegah', 'perzinahan', 'syariah']",Negatif
9,901,11/26/2021 2:53,1.46E+23,Erik Renaldi Harja Winata,b'RT @CNNIndonesia: Aktivis perempuan Devi Asmarani mengatakan Permendikbud PPKS sangat dibutuhkan di lingkungan perguruan tinggi lantaran se\xe2\x80\xa6',b'rt @cnnindonesia: aktivis perempuan devi asmarani mengatakan permendikbud ppks sangat dibutuhkan di lingkungan perguruan tinggi lantaran se\xe2\x80\xa6',aktivis perempuan devi asmarani mengatakan permendikbud ppks sangat dibutuhkan di lingkungan perguruan tinggi lantaran se,"['aktivis', 'perempuan', 'devi', 'asmarani', 'mengatakan', 'permendikbud', 'ppks', 'sangat', 'dibutuhkan', 'di', 'lingkungan', 'perguruan', 'tinggi', 'lantaran', 'se']","['aktivis', 'perempuan', 'devi', 'asmarani', 'mengatakan', 'permendukbidristek', 'ppks', 'sangat', 'dibutuhkan', 'di', 'lingkungan', 'perguruan', 'tinggi', 'lantaran', 'se']",aktivis perempuan devi asmarani permendukbidristek ppks dibutuhkan lingkungan perguruan lantaran,"['aktivis', 'perempuan', 'devi', 'asmarani', 'permendukbidristek', 'ppks', 'butuh', 'lingkung', 'guru', 'lantar']","['aktivis', 'perempuan', 'devi', 'asmarani', 'permendukbidristek', 'ppks', 'butuh', 'lingkung', 'guru', 'lantar']",Positif
